SAL_CODE_2021,SAL_NAME_2021,IRSD_Score,IRSAD_Score,IER_Score,IEO_Score,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_hhd_inc_weekly,Average_household_size,Tot_P_P,Income_to_Mortgage_Ratio,Rent_to_Income_Ratio,Working_Age_Share,Senior_Share,Diversity_Share,Estimated_Property_Price,Estimated_Gross_Yield_Pct,ROI_Proxy_Score,Realistic_ROI_Target,ROI_Rank,Top20_Flag
21354,Kilsyth,1010.467486,985.2204497,1008.501793,980.0108142,38.0,1972.0,803.0,391.0,1649.0,2.4,11699.0,3.6207758620689656,0.23711340206185566,0.4059321309513634,0.19471749722198478,0.16710829985468845,321975.4914423084,6.314766353464233,0.187132351941196,0.164661609348549,3803,0
21355,Kilsyth South,1069.618674,1031.01617,1104.014041,986.8631538,42.0,1950.0,837.0,426.0,2328.0,3.0,2862.0,5.169353846153846,0.18298969072164947,0.37631027253668764,0.11740041928721175,0.1123340321453529,318383.4727751021,6.957647583562732,0.20348747254617253,0.19325924092365288,1573,1
21356,Kimbolton (Vic.),1001.97397,1009.00219,1139.457315,1007.166472,55.0,1300.0,575.0,250.0,1375.0,2.5,96.0,4.579807692307693,0.18181818181818182,0.3020833333333333,0.16666666666666666,0.041666666666666664,212255.64851673474,6.1246897742629685,0.17603875909470124,0.0855972404217078,11501,0
21357,King Valley,1036.301257,1008.28819,1028.2977,1000.566267,47.0,1148.0,838.0,325.0,1562.0,2.6,87.0,5.8915156794425085,0.20806658130601793,0.3103448275862069,0.21839080459770116,0.15517241379310345,187438.064997855,9.016311601484684,0.18507979027712634,0.12970200558540584,7810,0
21358,Kinglake,1024.559701,986.4981379,1051.025983,987.0900055,43.0,1733.0,788.0,300.0,1737.0,2.6,1662.0,4.33999422965955,0.17271157167530224,0.42117930204572807,0.13537906137184116,0.06107099879663057,282953.10683038563,5.513281043191131,0.17627079354227568,0.19477963587146266,1484,1
21359,Kinglake Central,1015.587632,999.408582,1058.537441,1004.898205,45.0,1733.0,653.0,330.0,1648.0,2.8,413.0,4.117622619734564,0.20024271844660194,0.36803874092009686,0.14285714285714285,0.07021791767554479,282953.10683038563,6.064609147510244,0.1833589289640152,0.16412151302275127,3848,0
21360,Kinglake West,1054.708248,1014.619693,1084.912776,993.1113444,40.0,2000.0,801.0,360.0,1950.0,2.9,1305.0,4.22175,0.18461538461538463,0.41379310344827586,0.14559386973180077,0.08199233716475096,326547.1515642073,5.732709628710139,0.1910523426050208,0.02,12711,0
21361,Kingower,953.0135418,919.2210124,974.8670627,938.820788,60.0,802.0,433.0,0.0,825.0,2.0,46.0,4.454177057356609,0.0,0.34782608695652173,0.1956521739130435,0.043478260869565216,130945.40777724712,0.0,0.12165547393764438,0.13863726402769208,6793,0
21362,Kings Park (Vic.),815.7929315,845.8732567,921.6795722,866.5331943,38.0,1500.0,479.0,321.0,1224.0,2.9,8203.0,3.53328,0.2622549019607843,0.38741923686456176,0.17969035718639523,0.613068389613556,244910.3636731555,6.815554780799831,0.1418581377491558,0.19807580696523863,1309,1
21363,Kingsbury,957.9154924,971.914428,909.4634071,1004.72513,34.0,1733.0,617.0,361.0,1399.0,2.4,3460.0,3.4954818234275824,0.2580414581844174,0.48815028901734103,0.1554913294797688,0.4695086705202312,282953.10683038563,6.634314855306661,0.17994014473691836,0.09259157084730425,11099,0
21364,Kingston (Vic.),1063.229315,1041.878428,1048.298954,1078.311349,56.0,1517.0,742.0,230.0,1517.0,2.2,190.0,4.33,0.15161502966381016,0.28421052631578947,0.3105263157894737,0.04473684210526316,247686.01446145124,4.828694113393875,0.18222707439188124,0.20253045246354173,1112,1
21365,Kingsville,1055.797292,1093.093357,1006.647116,1124.20201,37.0,2370.0,1202.0,355.0,2195.0,2.3,3920.0,4.010274261603375,0.16173120728929385,0.5267857142857143,0.10612244897959183,0.24528061224489797,386958.37460358563,4.770538954974447,0.2110825759907175,0.09572779233397555,10900,0
21366,Kinnabulla,1040.319556,1022.670255,1028.167846,1051.752513,29.0,0.0,619.0,58.0,1375.0,2.4,26.0,inf,0.04218181818181818,0.4230769230769231,0.0,0.0,0.0,inf,,,,0
21367,Kinypanial,966.2269426,937.1444944,1001.71591,994.0095244,49.0,0.0,524.0,200.0,1375.0,3.3,12.0,inf,0.14545454545454545,0.3333333333333333,0.4166666666666667,0.0,0.0,inf,,,,0
21368,Kirkstall,1030.067336,986.1753792,1045.51873,983.5700115,40.0,1454.0,776.0,270.0,1690.0,2.7,406.0,5.032806052269601,0.15976331360946747,0.39901477832512317,0.14285714285714285,0.03940886699507389,237399.7791871787,5.914074582575796,0.1724943290988917,0.06360883787824098,12298,0
21369,Kirwans Bridge,1023.279788,981.9111589,1037.415243,938.7138299,63.0,1246.0,666.0,330.0,1271.0,2.1,134.0,4.4168780096308184,0.25963808025177026,0.1417910447761194,0.4626865671641791,0.07835820895522388,203438.87542450114,8.434966013350925,0.17875556413283838,0.13868290154493476,6785,0
21370,Kithbrook,1038.809579,1015.789564,1046.314514,1042.228873,55.0,1428.0,599.0,175.0,1125.0,2.1,67.0,3.4112394957983194,0.15555555555555556,0.34328358208955223,0.22388059701492538,0.029850746268656716,233154.66621684402,3.9029885816381658,0.16859556069704676,0.1829872422661883,2224,1
21371,Knebsworth,1068.043267,1039.531234,1072.220967,1041.389048,49.0,644.0,1042.0,0.0,2125.0,2.2,22.0,14.287655279503106,0.0,0.18181818181818182,0.4090909090909091,0.0,105148.18280367475,0.0,0.15330766865107828,0.14686671892637046,5778,0
21373,Knowsley,1050.15035,1000.674967,1035.372368,935.5520739,47.0,1896.0,845.0,315.0,1625.0,2.5,168.0,3.7111023206751055,0.19384615384615383,0.38095238095238093,0.20833333333333334,0.023809523809523808,309566.6996828685,5.291266798651235,0.18184632463669578,0.16339993715762802,3913,0
21374,Knoxfield,1044.791433,1026.863717,1030.444181,1025.063969,41.0,2000.0,764.0,421.0,1762.0,2.6,7645.0,3.81473,0.23893303064699206,0.39908436886854154,0.1959450621321125,0.34558534990189665,326547.1515642073,6.704085426908245,0.20177975292240544,0.16123314642773587,4147,0
21375,Koallah,1029.529738,1003.740025,1022.500171,999.7090343,55.0,1977.0,1093.0,210.0,1374.0,2.0,28.0,3.0093171471927165,0.15283842794759825,0.10714285714285714,0.0,0.0,322791.8593212189,3.3829849435989683,0.16973227852407774,0.08344472194909117,11603,0
21376,Koetong,1023.994037,993.9882555,1036.85082,1017.471132,57.0,1491.0,700.0,305.0,1333.0,2.0,26.0,3.871153588195842,0.2288072018004501,0.2692307692307692,0.34615384615384615,0.0,243440.90149111653,6.514928223998033,0.17885661320112184,0.1490243139045277,5523,0
21377,Kolora,1053.261681,1035.652887,1089.526359,1013.235659,47.0,1213.0,808.0,180.0,1812.0,2.7,188.0,6.468227535037098,0.09933774834437085,0.2872340425531915,0.24468085106382978,0.026595744680851064,198050.84742369174,4.72605905087398,0.17443662418589934,0.21179586144633186,783,1
21378,Kongwak,1063.165196,1021.137505,1079.135655,1002.931554,48.0,1727.0,704.0,138.0,1625.0,2.6,207.0,4.074261725535611,0.08492307692307692,0.37681159420289856,0.21739130434782608,0.057971014492753624,281973.465375693,2.544920313845458,0.1654496284262129,0.18981448974174933,1793,1
21379,Konongwootong,1066.735849,1050.219439,1117.319926,1091.520891,45.0,900.0,1015.0,300.0,1875.0,2.4,60.0,9.020833333333334,0.16,0.4166666666666667,0.21666666666666667,0.05,146946.21820389328,10.616128942055811,0.19303511333977613,0.08408427307719787,11571,0
21380,Koo Wee Rup,993.0319744,947.5611078,1037.235727,898.8136074,34.0,1811.0,809.0,320.0,1782.0,2.7,4047.0,4.260662617338487,0.17957351290684623,0.3963429701013096,0.15591796392389423,0.083765752409192,295688.4457413897,5.627544883696068,0.16848795560923305,0.08996572656300036,11284,0
21381,Koo Wee Rup North,1002.224844,986.2171391,1057.811992,964.5228511,48.0,1979.0,725.0,42.0,1416.0,3.0,47.0,3.0981707933299645,0.029661016949152543,0.2553191489361702,0.2553191489361702,0.05319148936170213,323118.4064727831,0.6759132120763174,0.14444953220506393,0.10178063862744065,10505,0
21382,Kooloonong,969.4960692,969.1444333,976.764019,951.3948061,44.0,212.0,866.0,0.0,1375.0,2.4,19.0,28.08372641509434,0.0,0.3157894736842105,0.2631578947368421,0.4473684210526316,34613.99806580597,0.0,0.1347897348347876,0.08169081769249027,11670,0
21383,Koonda,1041.808181,1018.387366,1036.46599,1038.305372,53.0,1300.0,556.0,0.0,962.0,2.1,26.0,3.2042,0.0,0.11538461538461539,0.15384615384615385,0.0,212255.64851673474,0.0,0.14774496734415007,0.14498351720420596,6010,0
21384,Koondrook,953.9233385,903.818894,962.5829679,860.9400822,54.0,1105.0,538.0,200.0,973.0,2.2,1101.0,3.8127511312217197,0.20554984583761562,0.29064486830154407,0.3097184377838329,0.027702089009990917,180417.30123922453,5.764413905188675,0.1422136953038642,0.12799470482458836,8018,0
21385,Koonoomoo,981.449956,947.3812332,1004.654424,932.9350491,51.0,1733.0,638.0,200.0,1408.0,2.4,305.0,3.51796884016157,0.14204545454545456,0.3344262295081967,0.24918032786885247,0.04426229508196721,282953.10683038563,3.6755206954607536,0.1536744309271045,0.0766085634168731,11901,0
21386,Koonwarra,1049.070869,1009.847097,1062.42061,1028.699001,53.0,1517.0,760.0,252.0,1825.0,2.5,366.0,5.209129861568886,0.13808219178082193,0.2896174863387978,0.22131147540983606,0.06967213114754098,247686.01446145124,5.290569202501116,0.17650714748529678,0.17611087030518485,2765,0
21387,Kooreh,992.5182873,951.5827242,990.6541266,970.1041325,43.0,1242.0,979.0,0.0,2062.0,2.7,29.0,7.18877616747182,0.0,0.13793103448275862,0.2413793103448276,0.0,202785.78112137274,0.0,0.13016945711821923,0.1401492370206476,6616,0
21388,Koorlong,1025.032905,967.8441683,1067.21302,915.5674413,39.0,1656.0,820.0,280.0,2094.0,2.9,397.0,5.475253623188406,0.13371537726838587,0.345088161209068,0.14105793450881612,0.0163727959697733,270381.04149516363,5.384992941622513,0.16890212138745297,0.12080406332438617,8788,0
21389,Koornalla,1013.402377,994.4316129,1055.221342,1008.432729,47.0,1625.0,766.0,0.0,1875.0,2.8,89.0,4.996153846153846,0.0,0.29213483146067415,0.23595505617977527,0.09550561797752809,265319.5606459184,0.0,0.1414424923628543,0.13284878443648063,7457,0
21390,Kooroocheang,1052.653511,1035.428566,1039.024562,1060.488734,45.0,2550.0,491.0,0.0,1583.0,2.8,41.0,2.6879960784313726,0.0,0.24390243902439024,0.34146341463414637,0.0,416347.6182443643,0.0,0.15222830527984021,0.07031960659782262,12116,0
21392,Koorooman,1083.833603,1044.127899,1093.545327,1047.237089,47.0,1500.0,933.0,330.0,2107.0,2.6,115.0,6.082206666666666,0.15662078785002373,0.28695652173913044,0.22608695652173913,0.07391304347826087,244910.3636731555,7.006645101756835,0.19512405174669803,0.14359809108023294,6183,0
21393,Kooyong,1117.421299,1171.856439,1074.208517,1187.448003,44.0,3425.0,1428.0,590.0,3218.0,2.5,842.0,4.068303649635037,0.18334369173399628,0.342042755344418,0.24465558194774348,0.17933491686460806,559211.997053705,5.486291453266799,0.26072135543474084,0.2000004804407981,1221,1
21394,Koriella,1015.387287,999.7655506,1042.893526,1005.227938,59.0,2160.0,855.0,250.0,1833.0,2.4,66.0,3.6744861111111113,0.13638843426077468,0.21212121212121213,0.4696969696969697,0.03787878787878788,352670.9236893439,3.686155882658267,0.173608708639316,0.12902773717360835,7876,0
21395,Korobeit,1067.561323,1047.693506,1087.096997,1027.607316,53.0,2409.0,1125.0,378.0,2874.0,2.7,75.0,5.165803237858032,0.1315240083507307,0.18666666666666668,0.2,0.04,393326.0440590877,4.997380747318925,0.20196860145006157,0.16764357246971442,3486,0
21396,Koroit,1022.733888,967.5885273,1023.602906,946.9231533,41.0,1400.0,746.0,280.0,1466.0,2.5,2184.0,4.534128571428571,0.19099590723055934,0.3489010989010989,0.2042124542124542,0.0451007326007326,228583.0060949451,6.369677365233486,0.16883486526739,0.1514514949104691,5206,0
21397,Korong Vale,728.8321657,743.5537376,879.5995417,853.7407146,57.0,433.0,415.0,130.0,575.0,1.8,143.0,5.75,0.22608695652173913,0.23776223776223776,0.27972027972027974,0.04195804195804196,70697.45831365087,9.561871333491379,0.09143621263022653,0.04982090976552689,12526,0
21398,Koroop,1031.90324,993.4870763,1059.712661,995.8238935,49.0,28.0,612.0,160.0,1093.0,2.5,63.0,169.02464285714288,0.1463860933211345,0.36507936507936506,0.1746031746031746,0.03968253968253968,4571.660121898902,181.99078186381394,0.16088226504063297,0.14972854582979947,5442,0
21399,Korumburra,966.255621,926.7372291,978.0425366,918.5508757,47.0,1300.0,611.0,270.0,1175.0,2.3,4749.0,3.913653846153846,0.2297872340425532,0.32596336070751736,0.2625815961255001,0.08001684565171616,212255.64851673474,6.614664956204005,0.15685685561283585,0.1655676432640309,3700,0
